"State","Municipality","Name Id","Place Name","Place Name Status","Feature Type","Longitude","Latitude","Place Id"
"VIC","SWAN HILL RURAL CITY","100461","BOUNDARY BEND","REGISTERED","LOCB","143.110037","-34.7297952","100447"
"VIC","CENTRAL GOLDFIELDS SHIRE","100462","BOWENVALE","REGISTERED","LOCB","143.7003961","-36.9985358","100448"
"VIC","WANGARATTA RURAL CITY","100464","BOWEYA","REGISTERED","LOCB","146.1460315","-36.27172","100450"
"VIC","BENALLA RURAL CITY","100463","BOWEYA","REGISTERED","LOCB","146.1033354","-36.2764999","100449"
"VIC","MOIRA SHIRE","100465","BOWEYA NORTH","REGISTERED","LOCB","146.1060653","-36.2271503","100451"
"VIC","WANGARATTA RURAL CITY","100466","BOWMANS FOREST","REGISTERED","LOCB","146.6298941","-36.466767","100452"
"VIC","WANGARATTA RURAL CITY","100467","BOWSER","REGISTERED","LOCB","146.362096","-36.310187","100453"
"VIC","WHITEHORSE CITY","100468","BOX HILL","REGISTERED","LOCB","145.126177","-37.8215005","100454"
"VIC","WHITEHORSE CITY","100469","BOX HILL NORTH","REGISTERED","LOCB","145.1292193","-37.8053754","100455"
"VIC","WHITEHORSE CITY","100470","BOX HILL SOUTH","REGISTERED","LOCB","145.123233","-37.8367725","100456"
"VIC","GREATER SHEPPARTON CITY","100472","BOXWOOD","REGISTERED","LOCB","145.7891379","-36.3204879","100458"
"VIC","BENALLA RURAL CITY","100471","BOXWOOD","REGISTERED","LOCB","145.8159375","-36.3239102","100457"
"VIC","MOUNT ALEXANDER SHIRE","100473","BRADFORD","REGISTERED","LOCB","144.06036","-36.9225162","100459"
"VIC","CORANGAMITE SHIRE","100474","BRADVALE","REGISTERED","LOCB","143.3570969","-37.7945488","100460"
"VIC","KINGSTON CITY","100475","BRAESIDE","REGISTERED","LOCB","145.1239839","-38.000732","100461"
"VIC","BAW BAW SHIRE","100476","BRANDY CREEK","REGISTERED","LOCB","145.9151639","-38.102959","100462"
"VIC","SOUTHERN GRAMPIANS SHIRE","100478","BRANXHOLME","REGISTERED","LOCB","141.820008","-37.842611","100464"
"VIC","GLENELG SHIRE","100477","BRANXHOLME","REGISTERED","LOCB","141.766875","-37.9028179","100463"
"VIC","BAW BAW SHIRE","100479","BRAVINGTON","REGISTERED","LOCB","145.9230297","-38.0824981","100465"
"VIC","MARIBYRNONG CITY","100480","BRAYBROOK","REGISTERED","LOCB","144.8538578","-37.7846537","100466"
"VIC","GLENELG SHIRE","100481","BREAKAWAY CREEK","REGISTERED","LOCB","141.8070891","-38.0283841","100467"
"VIC","MOYNE SHIRE","100482","BREAKAWAY CREEK","REGISTERED","LOCB","141.8447007","-38.0421313","100468"
"VIC","GREATER GEELONG CITY","100483","BREAKWATER","REGISTERED","LOCB","144.3733085","-38.180021","100469"
"VIC","SURF COAST SHIRE","100485","BREAMLEA","REGISTERED","LOCB","144.3836836","-38.2925161","100471"
"VIC","GREATER GEELONG CITY","100484","BREAMLEA","REGISTERED","LOCB","144.3917757","-38.2953676","100470"
"VIC","LODDON SHIRE","100486","BRENANAH","REGISTERED","LOCB","143.7072925","-36.566389","100472"
"VIC","PYRENEES SHIRE","100487","BREWSTER","REGISTERED","LOCB","143.5301389","-37.496236","100473"
"VIC","WELLINGTON SHIRE","100488","BRIAGOLONG","REGISTERED","LOCB","147.0847295","-37.8038515","100474"
"VIC","BANYULE CITY","100489","BRIAR HILL","REGISTERED","LOCB","145.1216511","-37.7060745","100475"
"VIC","MANSFIELD SHIRE","100491","BRIDGE CREEK","REGISTERED","LOCB","146.1083452","-36.9214061","100477"
"VIC","BENALLA RURAL CITY","100490","BRIDGE CREEK","REGISTERED","LOCB","146.0945735","-36.8533332","100476"
"VIC","LODDON SHIRE","100492","BRIDGEWATER","REGISTERED","LOCB","143.9485449","-36.637429","100478"
"VIC","LODDON SHIRE","100493","BRIDGEWATER NORTH","REGISTERED","LOCB","144.002887","-36.5493855","100479"
"VIC","LODDON SHIRE","100494","BRIDGEWATER ON LODDON","REGISTERED","LOCB","143.9408205","-36.6022175","100480"
"VIC","ALPINE SHIRE","100495","BRIGHT","REGISTERED","LOCB","147.0318895","-36.7026055","100481"
"VIC","BAYSIDE CITY","100496","BRIGHTON","REGISTERED","LOCB","144.994357","-37.9080308","100482"
"VIC","BAYSIDE CITY","100497","BRIGHTON EAST","REGISTERED","LOCB","145.0156379","-37.9184741","100483"
"VIC","GLEN EIRA CITY","100498","BRIGHTON EAST","REGISTERED","LOCB","145.0242703","-37.9195718","100484"
"VIC","YARRIAMBIACK SHIRE","100499","BRIM","REGISTERED","LOCB","142.4438288","-36.0718025","100485"
"VIC","GLENELG SHIRE","100500","BRIMBOAL","REGISTERED","LOCB","141.407557","-37.3946081","100486"
"VIC","INDIGO SHIRE","100501","BRIMIN","REGISTERED","LOCB","146.2496997","-36.0519963","100487"
"VIC","HORSHAM RURAL CITY","100502","BRIMPAEN","REGISTERED","LOCB","142.2037305","-37.0537301","100488"
"VIC","NORTHERN GRAMPIANS SHIRE","100503","BRIMPAEN","REGISTERED","LOCB","142.2520229","-37.1217728","100489"
"VIC","WEST WIMMERA SHIRE","100504","BRINGALBERT","REGISTERED","LOCB","141.1711807","-36.828993","100490"
"VIC","SOUTHERN GRAMPIANS SHIRE","100505","BRIT BRIT","REGISTERED","LOCB","141.7406728","-37.4078368","100491"
"VIC","MITCHELL SHIRE","100506","BROADFORD","REGISTERED","LOCB","145.0654831","-37.2079973","100492"
"VIC","EAST GIPPSLAND SHIRE","100507","BROADLANDS","REGISTERED","LOCB","147.6855393","-37.8582537","100493"
"VIC","HUME CITY","100508","BROADMEADOWS","REGISTERED","LOCB","144.9284041","-37.6818488","100494"
"VIC","MOYNE SHIRE","100509","BROADWATER","REGISTERED","LOCB","142.0805647","-38.1245791","100495"
"VIC","EAST GIPPSLAND SHIRE","100510","BRODRIBB RIVER","REGISTERED","LOCB","148.5802638","-37.7096294","100496"
"VIC","BENALLA RURAL CITY","100511","BROKEN CREEK","REGISTERED","LOCB","145.8903506","-36.4347803","100497"
"VIC","CENTRAL GOLDFIELDS SHIRE","100512","BROMLEY","REGISTERED","LOCB","143.7864103","-36.8869796","100498"
"VIC","MELTON CITY","100513","BROOKFIELD","REGISTERED","LOCB","144.5407978","-37.7011699","100499"
"VIC","HOBSONS BAY CITY","100515","BROOKLYN","REGISTERED","LOCB","144.8474342","-37.8213783","100501"
"VIC","BRIMBANK CITY","100514","BROOKLYN","REGISTERED","LOCB","144.8397198","-37.8116284","100500"
"VIC","EAST GIPPSLAND SHIRE","100516","BROOKVILLE","REGISTERED","LOCB","147.6691695","-37.351852","100502"
"VIC","HEPBURN SHIRE","100517","BROOMFIELD","REGISTERED","LOCB","143.9085875","-37.3847002","100503"
"VIC","HINDMARSH SHIRE","100518","BROUGHTON","REGISTERED","LOCB","141.3210351","-36.14754","100504"
"VIC","WEST WIMMERA SHIRE","100519","BROUGHTON","REGISTERED","LOCB","141.3375583","-36.2042826","100505"
"VIC","BALLARAT CITY","100520","BROWN HILL","REGISTERED","LOCB","143.9125438","-37.5494955","100506"
"VIC","INDIGO SHIRE","100521","BROWNS PLAINS","REGISTERED","LOCB","146.6208065","-36.0379404","100507"
"VIC","INDIGO SHIRE","100522","BRUARONG","REGISTERED","LOCB","146.8677353","-36.4202555","100508"
"VIC","MOYNE SHIRE","100524","BRUCKNELL","REGISTERED","LOCB","142.8834746","-38.4884139","100510"
"VIC","CORANGAMITE SHIRE","100523","BRUCKNELL","REGISTERED","LOCB","142.8991462","-38.4634252","100509"
"VIC","EAST GIPPSLAND SHIRE","100525","BRUMBY","REGISTERED","LOCB","148.0535113","-37.0193943","100511"
"VIC","MORELAND CITY","100526","BRUNSWICK","REGISTERED","LOCB","144.9628549","-37.7666919","100512"
"VIC","MORELAND CITY","100527","BRUNSWICK EAST","REGISTERED","LOCB","144.9785022","-37.7684972","100513"
"VIC","MORELAND CITY","100528","BRUNSWICK WEST","REGISTERED","LOCB","144.9445574","-37.7627435","100514"
"VIC","EAST GIPPSLAND SHIRE","100529","BRUTHEN","REGISTERED","LOCB","147.8619329","-37.7076771","100515"
"VIC","ARARAT RURAL CITY","100530","BUANGOR","REGISTERED","LOCB","143.1596419","-37.3749709","100516"
"VIC","PYRENEES SHIRE","100531","BUANGOR","REGISTERED","LOCB","143.2303141","-37.3479739","100517"
